0,20
0.0060006,19.991
0.012001,19.979
0.018002,19.965
0.024002,19.947
0.030003,19.927
0.036004,19.903
0.042004,19.877
0.048005,19.848
0.054005,19.816
0.060006,19.782
0.066007,19.744
0.072007,19.704
0.078008,19.661
0.084008,19.615
0.090009,19.566
0.09601,19.515
0.10201,19.461
0.10801,19.404
0.11401,19.344
0.12001,19.281
0.12601,19.216
0.13201,19.148
0.13801,19.078
0.14401,19.004
0.15002,18.928
0.15602,18.85
0.16202,18.768
0.16802,18.684
0.17402,18.598
0.18002,18.508
0.18602,18.416
0.19202,18.322
0.19802,18.225
0.20402,18.125
0.21002,18.023
0.21602,17.919
0.22202,17.812
0.22802,17.702
0.23402,17.59
0.24002,17.475
0.24602,17.358
0.25203,17.239
0.25803,17.117
0.26403,16.993
0.27003,16.867
0.27603,16.738
0.28203,16.607
0.28803,16.473
0.29403,16.337
0.30003,16.199
0.30603,16.059
0.31203,15.917
0.31803,15.772
0.32403,15.625
0.33003,15.476
0.33603,15.325
0.34203,15.172
0.34803,15.017
0.35404,14.86
0.36004,14.701
0.36604,14.539
0.37204,14.376
0.37804,14.211
0.38404,14.044
0.39004,13.875
0.39604,13.704
0.40204,13.531
0.40804,13.357
0.41404,13.18
0.42004,13.002
0.42604,12.822
0.43204,12.641
0.43804,12.457
0.44404,12.273
0.45005,12.086
0.45605,11.898
0.46205,11.708
0.46805,11.517
0.47405,11.324
0.48005,11.13
0.48605,10.934
0.49205,10.737
0.49805,10.538
0.50405,10.338
0.51005,10.137
0.51605,9.9346
0.52205,9.7308
0.52805,9.5257
0.53405,9.3194
0.54005,9.1119
0.54605,8.9032
0.55206,8.6934
0.55806,8.4825
0.56406,8.2706
0.57006,8.0576
0.57606,7.8436
0.58206,7.6286
0.58806,7.4127
0.59406,7.1959
0.60006,6.9782
0.60606,6.7597
0.61206,6.5404
0.61806,6.3203
0.62406,6.0994
0.63006,5.8779
0.63606,5.6556
0.64206,5.4327
0.64806,5.2092
0.65407,4.9851
0.66007,4.7605
0.66607,4.5353
0.67207,4.3096
0.67807,4.0835
0.68407,3.857
0.69007,3.6301
0.69607,3.4029
0.70207,3.1753
0.70807,2.9474
0.71407,2.7193
0.72007,2.491
0.72607,2.2624
0.73207,2.0337
0.73807,1.8049
0.74407,1.576
0.75008,1.3471
0.75608,1.1181
0.76208,0.88916
0.76808,0.66025
0.77408,0.43141
0.78008,0.20268
0.78608,-0.025913
0.79208,-0.25433
0.79808,-0.48253
0.80408,-0.7105
0.81008,-0.93819
0.81608,-1.1656
0.82208,-1.3926
0.82808,-1.6193
0.83408,-1.8456
0.84008,-2.0714
0.84608,-2.2968
0.85209,-2.5216
0.85809,-2.746
0.86409,-2.9698
0.87009,-3.1929
0.87609,-3.4155
0.88209,-3.6374
0.88809,-3.8586
0.89409,-4.0791
0.90009,-4.2988
0.90609,-4.5177
0.91209,-4.7359
0.91809,-4.9531
0.92409,-5.1695
0.93009,-5.385
0.93609,-5.5996
0.94209,-5.8132
0.94809,-6.0258
0.9541,-6.2373
0.9601,-6.4478
0.9661,-6.6573
0.9721,-6.8656
0.9781,-7.0727
