22,59,36
52,18,60
99,73,59
49,54,67
70,26,65
42,92,44
4,76,14
30,89,76
81,7,25
35,19,66
9,74,86
52,70,9
37,78,98
74,51,4
53,43,84
81,62,84
82,86,5
19,68,55
13,53,95
83,30,33
64,71,81
2,39,61
90,57,79
52,89,80
55,85,5
61,90,29
77,94,66
86,82,49
39,1,98
9,1,75
74,9,57
34,27,30
84,3,26
38,43,89
83,35,45
18,55,82
13,93,10
88,30,86
5,34,3
69,86,90
74,35,90
44,14,53
38,51,13
98,86,18
40,39,71
45,70,84
16,63,4
33,46,76
32,48,96
90,95,35
25,9,64
32,28,35
41,45,22
71,59,79
15,88,73
88,47,28
9,44,59
47,75,43
4,47,10
76,87,3
71,47,50
22,50,28
68,49,34
56,23,29
86,9,18
56,7,40
91,89,70
42,24,21
36,87,67
49,72,45
26,88,44
93,94,18
47,14,20
26,40,62
44,99,27
71,65,56
41,90,95
19,49,72
86,2,68
59,63,96
38,24,78
23,53,61
22,73,95
53,61,6
44,59,27
75,44,99
8,25,78
85,43,48
68,2,69
14,61,42
86,96,39
20,10,22
61,4,39
55,89,3
17,25,48
1,1,34
78,82,98
77,15,56
43,88,85
6,10,41
